state,sex,emplnw,emptype1,emptype2,emptype3,stud,job5a,job5b,job5c,job5d,auto1a,auto1b,auto1c,auto1d,auto1e,auto2,auto3,age,marital,par,educ2,edinst,disa,ideo,race,inc,zipcode
21,2,1,6,2,5,3,1,1,2,1,2,3,3,3,4,1,3,60,5,2,3, ,2,2,1,3,42301
26,2,8, , , ,3, , , , , , , , , , ,2,27,1,1,1, ,2,8,1,5,49091
42,2,1,3,2,2,3,2,1,1,2,4,4,4,4,4,2,1,43,1,1,8, ,2,4,3,9,16046
47,2,4, , , ,3, , , , , , , , , , ,2,72,1,1,3, ,2,1,1,5,38135
29,2,4, , , ,3, , , , , , , , , , ,2,99,9,2,99, ,1,4,9,99,63040
27,1,3, , , ,3, , , , , , , , , , ,2,69,1,2,6, ,2,1,1,4,55614
39,1,3, , , ,3, , , , , , , , , , ,2,70,1,2,3, ,2,1,1,5,44017
34,1,1,1,2,1,3,2,1,1,1,2,1,2,1,2,2,2,45,1,1,8, ,2,5,9,9,7023
1,2,3, , , ,2, , , , , , , , , , ,2,73,1,2,3,6,1,3,1,4,36587
42,2,3, , , ,3, , , , , , , , , , ,4,82,5,2,4, ,2,2,2,3,17201
26,1,3, , , ,3, , , , , , , , , , ,2,72,1,2,4, ,2,2,1,6,49441
6,2,3, , , ,3, , , , , , , , , , ,2,66,5,2,8, ,2,2,1,5,92672
39,2,3, , , ,3, , , , , , , , , , ,1,67,1,2,5, ,1,2,1,6,43515
17,2,3, , , ,3, , , , , , , , , , ,4,70,1,2,8, ,2,3,2,7,60653
27,2,2,3,1, ,3,2,2,2,1,2,3,4,3,3,2,2,53,1,2,3, ,2,4,1,4,55912
36,1,5,3,1, ,3,1,1,1,1,4,1,4,4,4,4,1,59,3,2,6, ,2,3,2,8,11510
37,1,3, , , ,3, , , , , , , , , , ,3,83,1,2,3, ,2,3,1,98,28607
31,1,3, , , ,3, , , , , , , , , , ,2,75,1,2,8, ,2,2,1,99,68057
27,2,3, , , ,3, , , , , , , , , , ,2,56,6,2,3, ,1,2,1,2,56087
26,1,1,2,2,2,3,1,2,1,2,4,4,4,4,4,2,2,56,1,2,3, ,2,3,1,8,48809
34,2,3, , , ,3, , , , , , , , , , ,2,99,5,2,5, ,2,4,8,98,7111
34,2,4, , , ,1, , , , , , , , , , ,2,19,6,2,3,2,2,3,1,9,7458
48,2,3, , , ,3, , , , , , , , , , ,3,61,6,2,8, ,2,4,1,7,78730
8,2,3, , , ,3, , , , , , , , , , ,3,87,5,2,4, ,2,2,1,98,80222
46,1,3, , , ,3, , , , , , , , , , ,2,91,1,2,4, ,2,4,1,3,57783
15,2,1,3,1, ,3,1,1,1,1,3,4,4,3,4,2,2,54,1,2,5, ,2,2,1,9,96743
35,2,1,1,2,1,3,1,1,2,2,4,4,4,2,4,1,2,51,3,2,6, ,2,4,1,6,87059
48,1,3, , , ,3, , , , , , , , , , ,3,58,1,2,3, ,1,3,2,8,77407
55,2,3, , , ,3, , , , , , , , , , ,8,88,5,2,6, ,1,3,1,99,53403
29,1,1,1,1, ,3,2,2,2,1,4,4,4,4,4,2,2,34,6,2,6, ,2,2,1,4,63068
6,1,1,5,2,1,3,1,1,1,1,4,4,4,2,2,2,2,55,1,2,8, ,2,5,1,8,90265
6,1,1,1,2,5,3,1,2,1,2,4,4,4,4,4,1,3,61,1,2,6, ,2,3,1,8,92801
53,1,3, , , ,3, , , , , , , , , , ,2,73,1,2,8, ,2,2,1,6,99206
6,2,2,1,1, ,3,1,2,1,1,4,4,4,3,3,2,2,51,3,2,5, ,1,9,1,2,92688
37,1,5,8,1, ,3,1,1,1,2,4,4,4,4,4,2,2,67,3,2,6, ,1,3,1,1,28387
42,2,3, , , ,3, , , , , , , , , , ,8,72,6,2,4, ,2,4,1,4,18509
51,2,2,3,2,4,3,1,1,2,1,4,4,4,4,4,1,2,36,1,1,5, ,2,4,1,7,22407
39,2,3, , , ,3, , , , , , , , , , ,3,72,9,2,3, ,2,1,9,99,44311
39,1,3, , , ,3, , , , , , , , , , ,2,68,1,2,5, ,1,2,1,5,45631
12,1,3, , , ,3, , , , , , , , , , ,2,77,1,2,2, ,2,2,1,4,32828
34,2,3, , , ,3, , , , , , , , , , ,1,82,5,2,8, ,1,4,1,7,8080
51,2,3, , , ,3, , , , , , , , , , ,1,73,3,2,3, ,2,3,1,7,22408
37,1,3, , , ,3, , , , , , , , , , ,2,60,1,2,3, ,1,3,1,6,28659
23,2,1,2,1, ,3,1,1,1,1,4,2,4,4,2,3,2,60,1,2,5, ,2,2,1,3,4426
12,2,3, , , ,3, , , , , , , , , , ,2,80,5,2,6, ,2,3,1,98,32955
21,2,3, , , ,3, , , , , , , , , , ,2,63,1,2,4, ,2,1,1,4,41653
17,1,1,1,2,1,3,1,1,2,2,3,3,4,1,4,3,2,56,1,2,8, ,2,3,1,9,60626
13,2,3, , , ,3, , , , , , , , , , ,1,83,5,2,5, ,1,5,1,3,30809
51,1,5,3,2,5,3,1,1,1,1,3,4,4,4,4,1,1,73,5,2,4, ,2,3,1,99,24153
36,2,1,5,2,1,3,1,1,1,2,2,4,4,4,3,1,3,44,1,1,8, ,2,3,9,9,12065
51,1,1,4,2,3,3,2,1,1,2,4,4,4,4,4,2,1,62,1,2,8, ,1,5,1,9,20155
17,1,1,2,2,2,3,2,1,1,2,3,4,4,4,2,2,3,59,1,2,6, ,2,2,1,9,60124
39,2,1,3,2,1,3,1,1,1,2,4,4,4,4,4,1,4,72,5,2,8, ,2,2,1,99,44432
39,2,2,5,2,5,3,1,2,1,2,3,3,4,4,2,2,3,46,1,2,8, ,2,3,1,7,44039
36,2,3, , , ,3, , , , , , , , , , ,2,80,6,2,8, ,2,3,1,9,10573
26,2,3, , , ,3, , , , , , , , , , ,1,99,9,2,4, ,1,3,1,4,48910
39,2,3, , , ,3, , , , , , , , , , ,2,85,2,2,3, ,2,4,1,99,44312
39,2,6, , , ,3, , , , , , , , , , ,2,72,5,2,3, ,2,2,1,2,44820
42,1,1,3,1, ,3,2,2,2,1,4,4,4,4,4,2,2,18,6,2,3, ,2,3,1,98,16668
21,1,1,4,2,1,3,2,1,1,2,4,4,4,4,4,1,3,33,6,2,8, ,2,2,1,6,40701
9,2,3, , , ,3, , , , , , , , , , ,2,65,1,2,8, ,2,4,1,9,6611
5,1,98, , , ,3, , , , , , , , , , ,2,66,1,2,3, ,1,2,1,98,72802
48,2,4, , , ,3, , , , , , , , , , ,2,56,3,2,3, ,1,3,1,1,75654
39,1,3, , , ,3, , , , , , , , , , ,2,70,1,2,6, ,2,4,1,4,45140
46,1,3, , , ,3, , , , , , , , , , ,2,74,6,2,6, ,1,3,1,4,57106
48,2,4, , , ,3, , , , , , , , , , ,2,83,5,2,3, ,2,2,1,1,79903
45,2,3, , , ,3, , , , , , , , , , ,1,88,3,2,4, ,1,2,1,98,29605
48,2,3, , , ,3, , , , , , , , , , ,2,75,1,2,3, ,1,2,1,99,75704
39,1,3, , , ,3, , , , , , , , , , ,3,60,1,1,3, ,2,4,1,3,44672
29,2,6, , , ,3, , , , , , , , , , ,2,51,1,2,5, ,1,1,1,4,64402
42,2,3, , , ,3, , , , , , , , , , ,2,85,1,2,6, ,1,4,1,99,17602
4,1,3, , , ,3, , , , , , , , , , ,2,72,1,2,4, ,2,2,1,98,85254
42,1,3, , , ,3, , , , , , , , , , ,2,81,1,2,3, ,2,2,1,3,17552
36,2,2,2,2,5,1,1,2,2,1,3,4,4,4,1,2,1,22,6,2,5,2,2,5,2,2,10456
16,1,3, , , ,3, , , , , , , , , , ,8,86,5,2,3, ,2,1,1,8,83501
1,1,1,4,2,2,3,1,2,1,2,3,4,4,4,4,2,3,53,1,2,8, ,2,4,2,9,36104
18,2,4, , , ,2, , , , , , , , , , ,2,18,6,2,3,2,2,4,1,8,47620
6,1,1,6,1, ,1,1,1,1,2,1,3,1,1,1,1,3,25,6,2,4,3,2,1,4,98,90002
53,1,3, , , ,3, , , , , , , , , , ,2,79,5,2,4, ,2,2,9,3,98362
6,2,3, , , ,3, , , , , , , , , , ,2,66,6,2,7, ,1,8,2,1,94521
53,2,1,5,2,1,3,1,1,1,1,4,4,4,2,4,1,4,57,1,2,8, ,2,9,1,99,98362
12,2,3, , , ,3, , , , , , , , , , ,8,74,5,2,4, ,2,8,1,98,32216
36,2,3, , , ,3, , , , , , , , , , ,2,80,3,2,5, ,2,5,2,2,10463
25,2,1,5,2,2,2,2,1,1,2,4,4,4,4,4,2,3,61,3,2,8,3,1,4,1,6,2138
12,2,3, , , ,3, , , , , , , , , , ,2,71,2,2,4, ,2,2,1,5,33770
33,1,5,3,1, ,3,1,1,1,2,4,4,4,4,4,1,3,64,1,2,4, ,2,3,1,7,3896
42,2,3, , , ,3, , , , , , , , , , ,3,80,1,2,3, ,2,2,1,98,19310
26,1,3, , , ,3, , , , , , , , , , ,2,57,3,2,5, ,1,3,1,3,49201
39,2,3, , , ,3, , , , , , , , , , ,1,65,1,2,2, ,1,1,2,3,44112
42,2,1,1,2,5,3,2,1,2,1,4,4,4,4,2,2,2,44,6,2,6, ,2,3,1,5,15921
18,2,1,4,2,5,3,1,1,2,2,4,4,3,4,4,2,2,44,2,1,3, ,2,8,1,6,47834
36,1,3, , , ,3, , , , , , , , , , ,3,79,1,2,3, ,2,2,1,99,10709
12,1,3, , , ,3, , , , , , , , , , ,1,66,6,2,6, ,2,1,1,4,32207
36,2,1,1,1, ,3,1,1,1,1,4,4,4,1,3,3,3,64,6,2,4, ,2,2,1,2,14226
12,1,3, , , ,3, , , , , , , , , , ,2,74,5,2,5, ,1,5,2,5,33056
47,2,2,1,2,4,2,1,2,2,1,4,4,4,4,4,2,3,60,1,2,7,6,1,3,1,99,37849
39,2,6, , , ,3, , , , , , , , , , ,2,32,6,1,4, ,1,3,2,98,44203
31,1,3, , , ,3, , , , , , , , , , ,2,86,1,2,4, ,1,2,1,2,68104
42,1,3, , , ,3, , , , , , , , , , ,1,77,1,2,3, ,2,3,1,4,17225
51,2,1,4,2,1,3,1,1,1,1,4,4,4,4,4,1,3,35,1,1,6, ,2,2,1,8,22079
45,2,3, , , ,3, , , , , , , , , , ,2,72,3,2,8, ,2,1,1,5,29464
36,1,3, , , ,3, , , , , , , , , , ,2,60,1,2,8, ,2,2,1,4,14009
13,2,1,1,2,1,3,1,1,1,2,4,4,4,4,4,2,2,49,1,1,8, ,2,3,2,9,30327
47,1,1,5,2,1,3,1,2,1,1,2,3,3,3,3,2,3,52,1,2,8, ,2,3,1,5,37918
18,1,1,4,1, ,3,1,2,1,1,4,4,4,4,3,2,3,59,3,2,5, ,2,3,1,6,47042
47,2,3, , , ,3, , , , , , , , , , ,2,66,1,2,6, ,2,3,9,8,37912
34,2,4, , , ,3, , , , , , , , , , ,9,49,3,1,1, ,9,9,6,1,7960
36,2,4, , , ,1, , , , , , , , , , ,3,21,6,2,3,2,2,5,1,3,10027
12,2,3, , , ,3, , , , , , , , , , ,3,60,1,2,6, ,2,3,1,99,34655
34,2,2,6,1, ,1,1,1,1,2,2,3,3,4,4,1,2,21,6,2,4,2,2,4,1,7,7876
47,2,3, , , ,3, , , , , , , , , , ,3,77,1,2,4, ,1,3,1,5,37604
26,2,3, , , ,3, , , , , , , , , , ,2,72,5,2,3, ,1,3,2,4,48228
48,2,3, , , ,3, , , , , , , , , , ,3,79,1,2,3, ,2,2,1,3,79064
30,2,3, , , ,3, , , , , , , , , , ,2,69,1,2,8, ,2,3,1,7,59061
38,2,1,3,2,1,3,1,2,1,2,3,3,4,4,4,1,3,53,1,2,6, ,2,2,1,6,58072
12,1,3, , , ,3, , , , , , , , , , ,3,68,1,2,8, ,2,4,1,6,33436
36,2,3, , , ,3, , , , , , , , , , ,2,87,5,2,3, ,2,3,1,1,11571
26,1,3, , , ,3, , , , , , , , , , ,2,71,1,2,6, ,1,2,1,98,49053
37,2,3, , , ,3, , , , , , , , , , ,2,76,5,2,4, ,2,3,1,98,27265
1,1,3, , , ,3, , , , , , , , , , ,1,71,1,2,3, ,2,8,1,98,35077
17,2,3, , , ,3, , , , , , , , , , ,2,75,1,2,8, ,2,5,1,9,60614
27,1,3, , , ,3, , , , , , , , , , ,2,73,1,2,5, ,2,2,1,99,56431
35,1,3, , , ,3, , , , , , , , , , ,2,85,1,2,6, ,1,4,9,8,87121
6,2,3, , , ,3, , , , , , , , , , ,2,85,5,9,6, ,2,3,1,5,94526
6,2,99, , , ,3, , , , , , , , , , ,2,99,9,2,99, ,2,3,9,99,93908
6,2,1,1,1, ,2,1,1,1,1,4,4,4,2,2,1,2,50,2,1,4,4,2,2,1,6,95826
53,2,5,8,2,1,3,1,1,1,1,4,4,3,3,3,2,2,49,1,1,8, ,2,2,1,9,98229
37,1,3, , , ,3, , , , , , , , , , ,1,39,2,2,4, ,1,4,1,5,27983
12,1,3, , , ,3, , , , , , , , , , ,2,85,9,2,3, ,2,2,1,99,33410
36,1,1,1,2,1,3,2,1,1,2,2,2,4,4,4,2,2,45,1,1,8, ,2,3,1,99,11598
12,2,1,5,2,1,3,1,1,1,1,4,3,4,4,4,1,2,59,1,2,7, ,2,3,1,99,33905
36,2,1,1,2,1,3,1,1,1,1,2,3,3,2,3,2,8,99,1,2,8, ,2,2,1,98,11731
47,1,3, , , ,3, , , , , , , , , , ,2,72,1,2,3, ,2,2,1,99,38469
19,2,3, , , ,3, , , , , , , , , , ,3,66,6,2,8, ,1,3,1,8,52761
13,1,3, , , ,3, , , , , , , , , , ,2,71,1,2,5, ,1,5,2,3,30121
17,2,4, , , ,3, , , , , , , , , , ,1,45,6,2,5, ,1,9,1,2,61356
28,1,3, , , ,3, , , , , , , , , , ,2,80,1,2,3, ,2,2,1,6,38655
42,1,3, , , ,2, , , , , , , , , , ,1,67,1,2,8,6,2,3,3,99,19425
29,2,1,1,2,4,3,2,2,2,1,1,4,1,2,1,3,2,40,1,1,8, ,2,4,1,7,64055
4,1,3, , , ,3, , , , , , , , , , ,2,78,5,2,3, ,1,3,1,99,85051
46,2,3, , , ,3, , , , , , , , , , ,2,80,1,2,3, ,2,4,1,5,57025
34,1,2,1,2,5,3,1,1,1,2,4,4,4,2,4,3,4,57,1,2,4, ,2,1,1,7,8087
37,2,4, , , ,3, , , , , , , , , , ,1,62,1,2,6, ,2,5,1,8,27516
19,2,3, , , ,3, , , , , , , , , , ,4,83,1,2,6, ,8,2,1,99,51001
4,1,3, , , ,3, , , , , , , , , , ,2,77,1,2,3, ,2,2,1,5,85033
48,2,3, , , ,3, , , , , , , , , , ,1,59,3,2,6, ,2,2,1,6,77708
37,1,3, , , ,3, , , , , , , , , , ,4,52,2,2,5, ,2,3,1,98,27549
48,2,3, , , ,3, , , , , , , , , , ,2,63,5,2,3, ,2,3,4,4,75460
20,2,1,6,1, ,3,1,1,1,1,2,2,3,2,3,2,3,99,1,2,5, ,1,2,2,6,66043
6,2,98, , , ,3, , , , , , , , , , ,2,39,1,9,4, ,2,2,1,98,92679
6,1,3, , , ,3, , , , , , , , , , ,2,75,1,2,3, ,2,4,1,5,94590
18,2,1,2,2,4,3,1,2,2,1,3,4,4,3,1,2,2,59,1,2,3, ,2,4,1,7,46033
6,2,3, , , ,3, , , , , , , , , , ,1,80,1,2,6, ,2,3,1,98,90275
53,1,3, , , ,3, , , , , , , , , , ,3,80,1,2,8, ,2,2,1,8,98512
6,2,6, , , ,3, , , , , , , , , , ,2,57,6,2,2, ,1,2,1,1,93308
27,1,1,1,2,1,3,1,1,1,2,3,3,2,4,4,1,8,54,9,9,4, ,1,2,1,6,55122
53,2,3, , , ,3, , , , , , , , , , ,2,82,3,2,8, ,2,1,1,2,98248
41,2,3, , , ,3, , , , , , , , , , ,3,69,1,2,6, ,2,3,1,8,97041
6,1,5,3,2,1,3,1,1,1,2,4,4,3,4,4,1,8,90,5,2,6, ,2,3,1,9,93001
34,2,1,1,2,4,3,2,1,2,1,3,3,4,4,3,2,3,57,6,2,3, ,2,2,1,5,7840
32,1,5,4,2,1,2,1,1,1,2,4,4,4,4,4,1,4,72,1,2,5,9,2,2,4,8,89448
41,1,3, , , ,3, , , , , , , , , , ,2,63,1,2,6, ,2,5,1,6,97741
26,2,4, , , ,3, , , , , , , , , , ,2,73,1,2,8, ,2,2,1,6,48067
45,1,1,5,1, ,3,1,1,1,2,4,3,3,2,3,3,1,57,3,2,5, ,2,3,2,5,29916
34,2,3, , , ,3, , , , , , , , , , ,1,61,6,2,6, ,1,1,1,3,7656
6,1,4, , , ,3, , , , , , , , , , ,3,29,4,2,3, ,1,4,2,98,90011
4,2,4, , , ,3, , , , , , , , , , ,2,32,1,1,2, ,2,2,6,1,85009
37,1,3, , , ,3, , , , , , , , , , ,2,79,1,2,3, ,2,3,2,3,27909
12,1,3, , , ,3, , , , , , , , , , ,2,81,1,2,6, ,2,2,1,8,33308
10,1,3, , , ,3, , , , , , , , , , ,2,75,1,2,5, ,1,4,1,99,19720
25,1,1,4,2,4,3,1,1,1,1,4,4,4,4,4,2,4,62,1,2,6, ,2,2,9,8,2370
24,2,3, , , ,3, , , , , , , , , , ,3,69,6,2,8, ,1,3,1,6,21044
21,2,6, , , ,3, , , , , , , , , , ,3,65,5,1,3, ,1,8,1,2,40312
24,1,3, , , ,3, , , , , , , , , , ,2,73,1,2,3, ,2,1,1,3,21078
55,2,1,2,2,2,3,1,1,1,2,4,4,4,4,4,2,3,99,1,1,6, ,2,2,1,9,54482
27,1,1,4,1, ,2,2,1,1,1,4,3,4,4,3,2,2,18,6,2,3,2,2,3,1,6,55350
28,1,3, , , ,3, , , , , , , , , , ,3,99,9,9,99, ,9,3,1,99,38671
6,2,3, , , ,3, , , , , , , , , , ,2,74,1,2,3, ,2,8,6,6,93001
45,2,1,6,2,2,3,1,2,1,2,4,4,4,4,4,2,3,49,1,2,7, ,2,2,1,7,29824
27,2,1,3,1, ,3,1,2,1,1,4,4,4,4,4,1,4,44,6,1,3, ,2,8,1,4,55371
12,1,1,5,2,1,3,1,1,1,2,4,4,4,4,4,2,2,62,1,2,6, ,2,2,1,8,33905
6,2,3, , , ,2, , , , , , , , , , ,2,48,6,2,8,6,1,4,1,5,94558
48,1,3, , , ,3, , , , , , , , , , ,1,70,1,2,1, ,2,3,1,99,77017
39,2,3, , , ,3, , , , , , , , , , ,3,60,5,2,8, ,2,2,1,3,45305
6,2,1,2,2,2,3,1,1,1,2,4,4,4,4,4,2,3,49,1,2,3, ,2,2,1,8,93536
41,2,3, , , ,3, , , , , , , , , , ,2,68,3,2,4, ,1,3,1,3,97132
18,1,3, , , ,3, , , , , , , , , , ,1,64,1,2,6, ,2,5,1,9,46385
53,1,1,6,1, ,3,1,1,1,2,4,4,4,3,4,1,2,99,1,2,8, ,2,9,9,99,98155
41,2,3, , , ,3, , , , , , , , , , ,2,72,1,2,4, ,2,3,1,6,97527
48,2,2,3,2,4,2,2,1,2,1,4,4,4,4,4,3,1,61,6,2,4,9,1,4,1,4,76020
51,2,3, , , ,3, , , , , , , , , , ,2,76,1,2,3, ,1,3,1,2,24292
47,2,3, , , ,3, , , , , , , , , , ,2,54,1,2,6, ,1,3,1,99,37083
48,1,3, , , ,3, , , , , , , , , , ,2,52,3,1,7, ,2,1,1,7,75414
12,2,1,6,2,5,1,1,1,1,1,2,3,2,3,2,3,2,59,4,2,6,3,2,2,2,4,33189
20,1,2,2,1, ,3,1,2,1,1,4,2,4,4,4,2,1,56,1,2,5, ,2,3,1,3,66960
29,2,3, , , ,3, , , , , , , , , , ,2,68,3,2,6, ,2,9,1,6,63548
36,1,5,3,2,1,3,1,1,1,2,4,4,4,3,4,4,2,67,1,2,8, ,2,3,1,9,11782
5,2,1,6,2,1,3,1,2,1,1,4,4,4,4,4,1,4,35,3,1,5, ,2,3,1,2,72560
39,1,3, , , ,3, , , , , , , , , , ,8,62,1,2,2, ,2,8,1,98,45325
26,1,3, , , ,3, , , , , , , , , , ,2,80,1,2,8, ,2,2,1,99,49333
21,1,1,1,1, ,3,2,2,2,1,3,4,3,3,3,1,3,52,1,2,4, ,2,3,1,7,40216
47,1,3, , , ,3, , , , , , , , , , ,8,85,1,2,8, ,2,1,1,9,37830
44,2,4, , , ,3, , , , , , , , , , ,2,65,2,2,1, ,1,2,1,1,2909
22,1,6, , , ,3, , , , , , , , , , ,2,55,2,1,3, ,1,4,2,2,70570
48,1,2,2,2,1,3,1,1,1,2,4,4,4,4,4,3,2,99,1,2,7, ,2,2,1,99,77339
6,1,3, , , ,3, , , , , , , , , , ,3,73,1,2,6, ,2,2,1,8,95621
35,2,3, , , ,3, , , , , , , , , , ,2,71,1,2,4, ,2,1,1,5,87941
41,1,3, , , ,3, , , , , , , , , , ,3,81,1,2,7, ,1,9,1,3,97914
6,2,2,7,2,5,3,2,2,1,1,4,2,4,4,4,1,2,53,1,2,6, ,2,3,3,5,95119
6,2,4, , , ,3, , , , , , , , , , ,2,37,1,1,3, ,2,8,4,7,95823
2,2,1,3,2,4,3,2,1,2,2,4,4,4,4,4,3,2,53,6,2,6, ,2,4,1,5,99676
42,2,3, , , ,3, , , , , , , , , , ,8,83,5,2,8, ,2,1,1,7,19382
36,2,1,1,2,5,3,1,2,2,1,3,2,4,4,4,2,3,65,9,2,3, ,2,3,1,99,11570
54,1,2,3,1, ,3,2,1,1,1,4,4,4,4,4,2,4,65,1,2,8, ,2,5,1,7,26070
48,2,3, , , ,3, , , , , , , , , , ,1,74,1,2,8, ,2,3,1,6,77802
41,1,1,5,2,1,3,1,1,1,1,4,4,4,4,4,2,3,65,1,2,8, ,2,5,1,8,97321
13,2,2,2,1, ,3,1,2,2,1,4,3,3,4,3,2,2,67,1,2,3, ,1,2,1,1,39819
2,1,3, , , ,2, , , , , , , , , , ,3,64,1,2,5,6,1,5,5,6,99603
26,1,3, , , ,3, , , , , , , , , , ,3,66,1,2,8, ,2,3,1,8,49757
